22,1
44,2
63,2
86,3
109,4
132,5
157,6
183,7
213,8
240,9
268,10
297,12
319,13
347,14
371,16
394,17
419,19
441,20
466,22
487,23
510,24
533,25
557,27
583,28
601,29
